id_tipo_carencia_material,id_regimen_tenencia_carencia_material,Anyo,Valor
8,1,2022,5.8
8,1,2021,6.5
8,1,2020,6.5
8,1,2019,5.6
8,1,2018,5.5
8,1,2017,5.1
8,1,2016,7.2
8,1,2015,7.1
8,1,2014,7.2
8,1,2013,6.7
8,1,2012,6.6
8,1,2011,5.6
8,1,2010,7.6
8,1,2009,8.1
8,1,2008,8.9
9,1,2024,27.7
9,1,2023,29.9
9,1,2022,27.4
9,1,2021,27.5
9,1,2020,30.6
9,1,2019,31.0
9,1,2018,32.3
9,1,2017,33.9
9,1,2016,39.3
9,1,2015,38.8
9,1,2014,42.5
9,1,2013,44.9
9,1,2009,38.2
1,2,2024,28.5
1,2,2023,28.9
1,2,2022,28.8
1,2,2021,28.3
1,2,2020,28.9
1,2,2019,28.7
1,2,2018,30.0
1,2,2017,30.2
1,2,2016,36.6
1,2,2015,37.9
1,2,2014,42.7
1,2,2013,44.1
1,2,2012,42.5
1,2,2011,37.1
1,2,2010,39.2
1,2,2009,38.1
1,2,2008,32.5
2,2,2024,4.3
2,2,2023,4.9
2,2,2022,4.0
2,2,2021,3.2
2,2,2020,4.1
2,2,2019,2.3
2,2,2018,2.7
2,2,2017,2.6
2,2,2016,2.1
2,2,2015,1.9
2,2,2014,2.3
2,2,2013,2.6
2,2,2012,1.9
2,2,2011,2.5
2,2,2010,2.2
2,2,2009,1.4
2,2,2008,1.5
3,2,2024,14.0
3,2,2023,17.5
3,2,2022,14.2
3,2,2021,11.0
3,2,2020,7.9
3,2,2019,4.9
3,2,2018,7.3
3,2,2017,5.7
3,2,2016,7.9
3,2,2015,8.0
3,2,2014,9.2
3,2,2013,6.2
3,2,2012,7.2
3,2,2011,5.2
3,2,2010,6.5
3,2,2009,5.6
3,2,2008,4.4
4,2,2024,28.1
4,2,2023,30.4
4,2,2022,28.5
4,2,2021,26.4
4,2,2020,28.4
4,2,2019,27.4
4,2,2018,30.1
4,2,2017,30.1
4,2,2016,32.6
4,2,2015,33.9
4,2,2014,36.7
4,2,2013,35.9
4,2,2012,36.6
4,2,2011,32.5
4,2,2010,33.3
4,2,2009,30.4
4,2,2008,25.0
5,2,2024,7.9
5,2,2023,7.7
5,2,2022,7.4
5,2,2021,8.1
5,2,2020,7.2
5,2,2019,5.1
5,2,2018,6.3
5,2,2017,6.1
5,2,2016,7.1
5,2,2015,7.8
5,2,2014,9.0
5,2,2013,8.9
5,2,2012,7.6
5,2,2011,5.9
5,2,2010,7.8
5,2,2009,7.5
5,2,2008,5.9
6,2,2024,9.5
6,2,2023,9.2
6,2,2022,8.9
6,2,2021,9.7
6,2,2020,8.1
6,2,2019,5.4
6,2,2018,6.8
6,2,2017,6.4
6,2,2016,7.6
6,2,2015,8.3
6,2,2014,9.6
6,2,2013,9.6
6,2,2012,8.2
6,2,2011,6.5
6,2,2010,8.6
6,2,2009,8.3
6,2,2008,6.5
7,2,2024,2.1
7,2,2023,2.1
7,2,2022,2.0
7,2,2021,2.1
7,2,2020,1.8
7,2,2019,1.9
7,2,2018,2.2
7,2,2017,2.1
7,2,2016,2.8
7,2,2015,3.0
7,2,2014,3.1
7,2,2013,3.2
7,2,2012,3.1
7,2,2011,2.7
7,2,2010,3.1
7,2,2009,2.8
7,2,2008,3.0
8,2,2024,4.2
8,2,2023,4.0
8,2,2022,3.6
8,2,2021,4.2
8,2,2020,3.9
8,2,2019,3.1
8,2,2018,3.3
8,2,2017,3.1
8,2,2016,4.5
8,2,2015,4.5
8,2,2014,5.1
8,2,2013,4.6
8,2,2012,4.4
8,2,2011,3.7
8,2,2010,5.4
8,2,2009,5.6
8,2,2008,6.3
9,2,2024,23.0
9,2,2023,25.5
9,2,2022,23.2
9,2,2021,22.7
9,2,2020,25.1
9,2,2019,26.0
9,2,2018,28.1
9,2,2017,29.1
9,2,2016,34.9
9,2,2015,35.1
9,2,2014,39.2
9,2,2013,41.0
9,2,2009,34.5
1,3,2024,27.2
1,3,2023,28.2
1,3,2022,29.2
1,3,2021,29.3
1,3,2020,29.0
1,3,2019,30.2
1,3,2018,30.4
1,3,2017,31.3
1,3,2016,36.9
1,3,2015,37.2
1,3,2014,40.9
1,3,2013,41.5
1,3,2012,40.2
1,3,2011,36.6
1,3,2010,38.4
2,3,2024,4.0
2,3,2023,4.5
2,3,2022,3.8
2,3,2021,3.3
2,3,2020,4.6
2,3,2019,2.6
2,3,2018,2.8
2,3,2017,2.8
2,3,2016,2.3
2,3,2015,1.9
2,3,2014,2.1
2,3,2013,2.7
2,3,2012,1.8
2,3,2011,2.5
2,3,2010,2.2
3,3,2024,13.1
3,3,2023,16.7
3,3,2022,13.9
3,3,2021,11.1
3,3,2020,8.4
3,3,2019,4.9
3,3,2018,7.7
3,3,2017,6.0
3,3,2016,7.9
3,3,2015,7.8
3,3,2014,8.2
3,3,2013,5.3
3,3,2012,6.8
3,3,2011,5.1
3,3,2010,7.0
4,3,2024,23.6
4,3,2023,26.3
4,3,2022,26.8
4,3,2021,24.5
4,3,2020,26.8
4,3,2019,27.2
4,3,2018,28.4
4,3,2017,28.9
4,3,2016,30.7
4,3,2015,31.5
4,3,2014,32.7
4,3,2013,31.9
4,3,2012,33.0
4,3,2011,29.8
4,3,2010,31.9
5,3,2024,4.3
5,3,2023,4.6
5,3,2022,4.4
5,3,2021,4.8
5,3,2020,4.2
5,3,2019,3.0
5,3,2018,4.0
5,3,2017,4.1
5,3,2016,4.4
5,3,2015,3.7
5,3,2014,4.0
5,3,2013,3.7
5,3,2012,3.2
5,3,2011,2.8
5,3,2010,3.1
6,3,2024,5.9
6,3,2023,6.0
6,3,2022,5.7
6,3,2021,6.3
6,3,2020,5.1
6,3,2019,3.3
6,3,2018,4.4
6,3,2017,4.3
6,3,2016,4.9
6,3,2015,4.2
6,3,2014,4.5
6,3,2013,4.5
6,3,2012,4.0
6,3,2011,3.4
6,3,2010,3.9
7,3,2024,1.9
7,3,2023,2.1
7,3,2022,2.1
7,3,2021,2.0
7,3,2020,1.8
7,3,2019,2.0
7,3,2018,2.2
7,3,2017,2.5
7,3,2016,2.9
7,3,2015,2.7
7,3,2014,2.7
7,3,2013,3.0
7,3,2012,3.0
7,3,2011,2.3
7,3,2010,2.8
8,3,2024,3.4
8,3,2023,3.6
8,3,2022,3.6
8,3,2021,4.3
8,3,2020,3.8
8,3,2019,3.0
8,3,2018,3.3
8,3,2017,3.5
8,3,2016,4.6
8,3,2015,4.4
8,3,2014,4.8
8,3,2013,4.6
8,3,2012,3.6
8,3,2011,3.3
8,3,2010,5.0
9,3,2024,19.1
9,3,2023,21.6
9,3,2022,21.6
9,3,2021,20.8
9,3,2020,24.0
9,3,2019,26.0
9,3,2018,27.5
9,3,2017,28.5
9,3,2016,32.6
9,3,2015,32.9
9,3,2014,35.6
9,3,2013,37.6
1,4,2024,30.6
1,4,2023,29.8
1,4,2022,28.3
1,4,2021,26.9
1,4,2020,28.7
1,4,2019,26.2
1,4,2018,29.3
1,4,2017,28.6
1,4,2016,36.2
1,4,2015,39.0
1,4,2014,45.3
1,4,2013,47.8
1,4,2012,46.0
1,4,2011,37.9
1,4,2010,40.2
2,4,2024,4.7
2,4,2023,5.5
2,4,2022,4.4
2,4,2021,3.1
2,4,2020,3.4
2,4,2019,2.0
2,4,2018,2.4
2,4,2017,2.2
2,4,2016,1.8
2,4,2015,1.9
2,4,2014,2.6
2,4,2013,2.5
2,4,2012,2.0
2,4,2011,2.5
2,4,2010,2.2
3,4,2024,15.5
3,4,2023,18.7
3,4,2022,14.6
3,4,2021,10.8
3,4,2020,7.1
3,4,2019,4.9
3,4,2018,6.5
3,4,2017,5.2
3,4,2016,7.9
3,4,2015,8.4
3,4,2014,10.6
3,4,2013,7.3
3,4,2012,7.8
3,4,2011,5.2
3,4,2010,5.9
4,4,2024,35.2
4,4,2023,36.6
4,4,2022,31.1
4,4,2021,29.3
