id_tipo_renta_tenencia,id_categoria_tenencia,Anyo,Valor
2,7,2018,12948.0
2,7,2017,12280.0
2,7,2016,12173.0
2,7,2015,11787.0
2,7,2014,11360.0
2,7,2013,11735.0
2,7,2012,12486.0
2,7,2011,13118.0
2,7,2010,13901.0
2,7,2009,13733.0
2,7,2008,12694.0
3,7,2024,15030.0
3,7,2023,14848.0
3,7,2022,13374.0
3,7,2021,12421.0
3,7,2020,12172.0
3,7,2019,11419.0
3,7,2018,11168.0
3,7,2017,10841.0
3,7,2016,10838.0
3,7,2015,10345.0
3,7,2014,9923.0
3,7,2013,9970.0
3,7,2012,10607.0
3,7,2011,10998.0
3,7,2010,12042.0
3,7,2009,11722.0
3,7,2008,10746.0
4,7,2024,21187.0
4,7,2023,20953.0
4,7,2022,18720.0
4,7,2021,17836.0
4,7,2020,17385.0
4,7,2019,16192.0
4,7,2018,16152.0
4,7,2017,15468.0
4,7,2016,15299.0
4,7,2015,14721.0
4,7,2014,14283.0
4,7,2013,14538.0
4,7,2012,15413.0
4,7,2011,16155.0
4,7,2010,17167.0
4,7,2009,16939.0
4,7,2008,15664.0
