id_decil_renta,id_regimen_tenencia_decil_renta,Anyo,Valor
4,3,2023,9.7
4,3,2022,9.9
4,3,2021,10.2
4,3,2020,10.2
4,3,2019,10.1
4,3,2018,10.0
4,3,2017,10.2
4,3,2016,10.0
4,3,2015,10.1
4,3,2014,10.2
4,3,2013,10.0
4,3,2012,10.5
4,3,2011,10.7
4,3,2010,10.4
5,3,2024,9.6
5,3,2023,10.4
5,3,2022,10.0
5,3,2021,10.6
5,3,2020,10.5
5,3,2019,10.2
5,3,2018,10.1
5,3,2017,10.6
5,3,2016,10.8
5,3,2015,10.6
5,3,2014,10.8
5,3,2013,10.8
5,3,2012,10.9
5,3,2011,10.9
5,3,2010,10.9
6,3,2024,10.7
6,3,2023,9.8
6,3,2022,10.8
6,3,2021,10.4
6,3,2020,10.7
6,3,2019,10.6
6,3,2018,10.7
6,3,2017,10.8
6,3,2016,10.6
6,3,2015,10.8
6,3,2014,10.9
6,3,2013,10.2
6,3,2012,10.6
6,3,2011,9.5
6,3,2010,9.6
7,3,2024,10.6
7,3,2023,10.5
7,3,2022,10.9
7,3,2021,10.9
7,3,2020,10.3
7,3,2019,10.8
7,3,2018,11.2
7,3,2017,10.1
7,3,2016,10.5
7,3,2015,9.9
7,3,2014,11.0
7,3,2013,10.6
7,3,2012,9.9
7,3,2011,10.5
7,3,2010,11.0
8,3,2024,10.5
8,3,2023,9.8
8,3,2022,10.1
8,3,2021,10.4
8,3,2020,10.1
8,3,2019,10.6
8,3,2018,10.0
8,3,2017,11.0
8,3,2016,10.4
8,3,2015,10.6
8,3,2014,10.5
8,3,2013,10.0
8,3,2012,10.0
8,3,2011,10.3
8,3,2010,9.8
9,3,2024,11.3
9,3,2023,11.2
9,3,2022,10.6
9,3,2021,10.7
9,3,2020,10.7
9,3,2019,10.5
9,3,2018,10.5
9,3,2017,10.4
9,3,2016,10.7
9,3,2015,10.3
9,3,2014,10.4
9,3,2013,10.6
9,3,2012,10.9
9,3,2011,10.5
9,3,2010,10.2
10,3,2024,12.3
10,3,2023,11.4
10,3,2022,11.0
10,3,2021,11.3
10,3,2020,11.7
10,3,2019,11.5
10,3,2018,11.2
10,3,2017,11.2
10,3,2016,11.5
10,3,2015,11.9
10,3,2014,11.6
10,3,2013,12.1
10,3,2012,11.4
10,3,2011,10.9
10,3,2010,10.4
1,4,2024,6.5
1,4,2023,6.5
1,4,2022,5.5
1,4,2021,5.7
1,4,2020,5.3
1,4,2019,5.4
1,4,2018,5.4
1,4,2017,6.0
1,4,2016,6.1
1,4,2015,7.0
1,4,2014,6.9
1,4,2013,6.9
1,4,2012,6.9
1,4,2011,7.6
1,4,2010,7.2
2,4,2024,7.3
2,4,2023,6.6
2,4,2022,6.6
2,4,2021,7.2
