id_tipo_renta_tamanohogar,id_tamano_hogar_renta,Anyo,Valor
3,5,2011,10367.0
3,5,2010,10826.0
3,5,2009,11001.0
3,5,2008,10719.0
4,5,2024,23929.0
4,5,2023,22924.0
4,5,2022,21633.0
4,5,2021,20517.0
4,5,2020,20418.0
4,5,2019,19119.0
4,5,2018,18773.0
4,5,2017,18170.0
4,5,2016,17353.0
4,5,2015,16633.0
4,5,2014,16709.0
4,5,2013,16743.0
4,5,2012,17086.0
4,5,2011,17851.0
4,5,2010,18636.0
4,5,2009,18957.0
4,5,2008,18374.0
1,6,2024,9733.0
1,6,2023,8923.0
1,6,2022,8485.0
1,6,2021,7914.0
1,6,2020,7679.0
1,6,2019,7707.0
1,6,2018,7856.0
1,6,2017,7153.0
1,6,2016,7137.0
1,6,2015,6693.0
1,6,2014,6743.0
1,6,2013,6674.0
1,6,2012,7207.0
1,6,2011,7606.0
1,6,2010,7549.0
1,6,2009,7761.0
1,6,2008,7422.0
2,6,2024,17803.0
2,6,2023,16463.0
2,6,2022,15670.0
2,6,2021,14591.0
2,6,2020,14194.0
2,6,2019,14333.0
2,6,2018,14566.0
2,6,2017,13276.0
2,6,2016,13151.0
2,6,2015,12315.0
2,6,2014,12475.0
2,6,2013,12313.0
2,6,2012,13355.0
2,6,2011,14001.0
2,6,2010,13791.0
2,6,2009,14078.0
2,6,2008,13397.0
3,6,2024,10530.0
3,6,2023,9719.0
3,6,2022,9353.0
3,6,2021,8740.0
3,6,2020,8479.0
3,6,2019,8502.0
3,6,2018,8636.0
3,6,2017,7886.0
3,6,2016,7880.0
3,6,2015,7387.0
3,6,2014,7442.0
3,6,2013,7294.0
3,6,2012,7844.0
3,6,2011,8338.0
3,6,2010,8244.0
3,6,2009,8396.0
3,6,2008,8074.0
4,6,2024,19262.0
4,6,2023,17936.0
4,6,2022,17279.0
4,6,2021,16118.0
4,6,2020,15680.0
4,6,2019,15820.0
4,6,2018,16012.0
4,6,2017,14632.0
4,6,2016,14518.0
4,6,2015,13589.0
4,6,2014,13761.0
4,6,2013,13453.0
4,6,2012,14526.0
4,6,2011,15339.0
4,6,2010,15063.0
4,6,2009,15224.0
4,6,2008,14570.0
